A 2 4 3 4 1 4 1 4 1 2
A 3 2 3 4 3 3 5 4 2 4
A 4 1 1 3 2 3 4 5 4 4
A 4 4 3 5 5 3 4 4 5 2
A 4 4 5 4 4 2 2 2 4 4
B 2 5 1 4 5 5 3 5 4 4
B 3 5 4 4 2 3 3 4 2 4
B 3 5 4 4 4 4 3 3 4 3
B 4 4 3 3 3 4 4 4 4 5
B 5 3 3 4 2 1 3 4 3 3
B 5 5 4 5 4 2 3 4 5 4
C 2 5 3 5 2 4 1 5 2 5
C 4 3 1 4 4 2 1 5 2 5
C 4 3 2 3 3 2 3 5 3 3
C 4 5 3 3 4 3 2 5 3 5
C 5 2 1 3 2 1 2 5 2 5
D 3 4 2 5 2 4 1 5 1 5
D 3 5 2 4 2 3 2 4 3 4
D 4 5 3 4 3 4 3 5 4 4
D 5 4 4 4 5 3 3 4 3 5
E 2 4 4 3 2 5 3 3 2 5
F 3 3 3 3 4 3 4 4 2 4
F 4 5 4 5 1 5 2 4 5 5
G 3 4 4 4 2 4 2 3 4 4
H 3 4 2 4 1 4 2 5 3 5
H 5 4 5 1 4 3 1 4 5 2
I 4 4 3 4 5 3 3 5 4 4
J 1 5 1 3 4 4 3 5 2 4
J 2 4 1 5 1 4 4 5 2 4
J 2 5 1 4 3 4 2 4 3 3
J 2 5 2 3 5 4 2 5 2 5
J 3 4 3 4 3 4 2 4 2 4
J 3 5 2 4 3 4 2 5 3 4
J 3 5 3 4 3 5 1 3 1 5
J 3 5 4 3 3 2 3 3 4 3
J 4 4 3 2 2 2 2 4 4 4
J 4 4 3 3 4 3 3 4 5 4
J 4 5 4 4 4 4 2 3 3 4
J 5 3 4 4 3 4 3 4 5 5
J 5 4 2 3 2 2 2 4 4 4
J 5 5 2 3 1 2 1 5 5 4
K 2 3 4 4 3 4 3 4 2 5
K 3 4 2 3 2 4 4 5 2 2
K 3 4 4 5 3 2 2 3 5 3
L 2 4 2 3 5 3 3 2 4 1
L 3 5 3 3 2 3 3 3 3 5
L 5 3 4 3 1 4 1 3 4 2
M 1 4 4 5 1 5 2 4 3 5
M 3 3 4 3 2 5 2 4 3 3
M 3 4 2 5 2 3 1 4 3 4
M 4 2 2 3 2 2 3 4 4 4
M 4 4 3 4 3 2 3 5 2 5
M 4 4 4 4 4 3 3 4 5 3
N 2 5 4 4 4 4 1 5 2 5
N 3 4 3 5 2 3 3 3 1 4
N 3 5 3 5 2 4 2 4 3 3
N 4 3 1 5 1 4 1 5 2 5
N 4 5 3 3 3 4 3 5 5 4
R 4 5 2 4 3 5 2 5 2 4
R 5 2 3 1 1 1 3 5 5 3
S 3 4 2 5 2 5 3 5 1 5
S 4 2 2 4 3 3 1 5 4 4
S 4 5 1 5 1 4 2 5 3 5
T 3 5 3 2 4 3 4 4 4 3
T 4 3 2 2 1 3 5 4 5 5
V 5 2 3 3 3 1 2 4 2 3
X 5 4 3 4 2 2 2 4 4 3
Z 4 3 3 3 2 3 2 4 3 4
